winner,weekID,AwayTeam,HomeTeam,Location,Points,rank,EWETL,EWETW
Philly Chapmaniacs,1,Philly Chapmaniacs,Dallas The boys,awaypoints,137.62,2,1,8
Compute This!,1,The Plainsmen,Compute This!,awaypoints,123.52,6,5,4
Team Ward,1,Team Ward,The OBJective Functions,awaypoints,134.74,3,2,7
Analysis Paralysis,1,'R'm Chair Quarterback,Analysis Paralysis,awaypoints,109.3,8,7,2
The Chief,1,Palindrome Tikkit,The Chief,awaypoints,129.56,4,3,6
Philly Chapmaniacs,1,Philly Chapmaniacs,Dallas The boys,homepoints,97.9,10,9,0
Compute This!,1,The Plainsmen,Compute This!,homepoints,128.22,5,4,5
Team Ward,1,Team Ward,The OBJective Functions,homepoints,108.16,9,8,1
Analysis Paralysis,1,'R'm Chair Quarterback,Analysis Paralysis,homepoints,119.8,7,6,3
The Chief,1,Palindrome Tikkit,The Chief,homepoints,156.1,1,0,9
The Plainsmen,2,Team Ward,The Plainsmen,awaypoints,115.1,7,6,3
Dallas The boys,2,Dallas The boys,'R'm Chair Quarterback,awaypoints,135.72,4,3,6
Palindrome Tikkit,2,Philly Chapmaniacs,Palindrome Tikkit,awaypoints,72.56,10,9,0
Compute This!,2,Compute This!,Analysis Paralysis,awaypoints,135.94,3,2,7
The OBJective Functions,2,The OBJective Functions,The Chief,awaypoints,144.92,1,0,9
The Plainsmen,2,Team Ward,The Plainsmen,homepoints,142.52,2,1,8
Dallas The boys,2,Dallas The boys,'R'm Chair Quarterback,homepoints,99.98,9,8,1
Palindrome Tikkit,2,Philly Chapmaniacs,Palindrome Tikkit,homepoints,125.3,5,4,5
Compute This!,2,Compute This!,Analysis Paralysis,homepoints,120.4,6,5,4
The OBJective Functions,2,The OBJective Functions,The Chief,homepoints,108.86,8,7,2
'R'm Chair Quarterback,3,Palindrome Tikkit,'R'm Chair Quarterback,awaypoints,120.46,8,7,2
Analysis Paralysis,3,Analysis Paralysis,The Plainsmen,awaypoints,124.9,4,3,6
The Chief,3,The Chief,Team Ward,awaypoints,153.64,2,1,8
Compute This!,3,Compute This!,Dallas The boys,awaypoints,132.76,3,2,7
Philly Chapmaniacs,3,The OBJective Functions,Philly Chapmaniacs,awaypoints,121.32,6.5,5.5,3.5
'R'm Chair Quarterback,3,Palindrome Tikkit,'R'm Chair Quarterback,homepoints,185.78,1,0,9
Analysis Paralysis,3,Analysis Paralysis,The Plainsmen,homepoints,77.36,10,9,0
